mode=build | 10 commit(s) | workers=1 | sandbox=convsafe port=31000 | free 76.3 GB | config c77842583f5b
mounted /Volumes/convsafe (image free 8.3 GB)

[1/10] 2026-05-26 04e63ab53 building...
    ACL v2           unit/acl-v2                no-summary  | sys free 76.1 GB
    ACL              unit/acl                      112/112  | sys free 76.1 GB
    AOF rewrite      unit/aofrw                 no-summary  | sys free 76.1 GB
    Auth             unit/auth                       16/16  | sys free 76.1 GB
    Bitfield         unit/bitfield                   18/18  | sys free 76.1 GB
    Bitops           unit/bitops                     50/50  | sys free 76.1 GB
    Client eviction  unit/client-eviction            14/14  | sys free 76.1 GB
    Command log      unit/commandlog                 14/14  | sys free 76.1 GB
    Dump/Restore     unit/dump                       27/27  | sys free 76.1 GB
    Expire           unit/expire                     65/65  | sys free 76.1 GB
    Functions        unit/functions                  94/94  | sys free 76.1 GB
    Fuzzer           unit/fuzzer                       1/1  | sys free 76.1 GB
    Geo              unit/geo                        71/71  | sys free 76.1 GB
    Hash field expiry unit/hashexpire            no-summary  | sys free 76.1 GB
    HyperLogLog      unit/hyperloglog                26/26  | sys free 76.1 GB
    INFO command     unit/info-command                 5/5  | sys free 76.1 GB
    INFO             unit/info                       24/24  | sys free 76.1 GB
    Introspection (2) unit/introspection-2            49/49  | sys free 76.1 GB
    Introspection    unit/introspection            113/113  | sys free 76.0 GB
    Keyspace         unit/keyspace                   65/65  | sys free 76.0 GB
    Latency monitor  unit/latency-monitor            12/12  | sys free 76.0 GB
    Lazy free        unit/lazyfree                     4/4  | sys free 76.0 GB
    Limits           unit/limits                       1/1  | sys free 76.0 GB
    Max-memory       unit/maxmemory                timeout  | sys free 75.9 GB
    Memory efficiency unit/memefficiency                5/5  | sys free 75.9 GB
    Transactions     unit/multi                      47/48  | sys free 75.9 GB
    Networking       unit/networking            no-summary  | sys free 75.9 GB
    Output-buffer limits unit/obuf-limits                13/13  | sys free 75.9 GB
    Other ops        unit/other                      27/27  | sys free 75.9 GB
